Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Brad Wanamaker,44.8,36.3,92.6,0.3,1.7,2.5,0.9,0.2,1.1,wanambr01,PG,0.4864864864864864
JaMychal Green,42.9,38.7,75.0,1.2,4.9,0.8,0.5,0.4,0.9,greenja01,PF,0.5
Damyean Dotson,41.4,36.2,66.7,0.2,1.7,1.2,0.5,0.1,0.4,dotsoda01,SG,0.5
Kyle Korver,43.0,41.8,85.4,0.3,1.8,1.2,0.4,0.2,0.8,korveky01,SG-PF,0.5000000000000002
Chris Boucher,47.2,32.2,78.4,1.7,2.7,0.4,0.4,1.0,0.5,bouchch01,PF,0.5862068965517241
Nicolo Melli,42.1,33.5,74.0,0.6,2.4,1.4,0.6,0.4,0.8,mellini01,C,0.5499999999999998
James Ennis III,44.6,32.5,80.6,1.0,2.5,0.9,0.5,0.3,0.8,ennisja01,SF-SG,0.5357142857142856
Ersan Ilyasova,46.6,36.5,82.8,1.0,3.8,0.8,0.4,0.3,0.5,ilyaser01,PF,0.5357142857142857
JaVale McGee,63.7,50.0,64.6,1.8,3.9,0.5,0.5,1.4,0.8,mcgeeja01,C,0.6590909090909091
T.J. McConnell,51.6,29.4,83.3,0.5,2.1,5.0,0.8,0.2,1.4,mccontj01,PG,0.5178571428571429
Kevin Knox II,35.9,32.7,65.3,0.4,2.4,0.9,0.4,0.4,0.7,knoxke01,SF,0.3870967741935484
Trey Lyles,44.6,38.7,73.3,1.1,4.6,1.1,0.4,0.4,0.6,lylestr01,PF,0.5185185185185185
Lonnie Walker IV,42.6,40.6,72.1,0.4,1.9,1.1,0.5,0.2,0.7,walkelo01,SG,0.4285714285714285
Cory Joseph,41.5,35.2,85.7,0.6,2.0,3.5,0.7,0.3,1.1,josepco01,SG,0.4571428571428571
Royce O'Neale,43.3,37.7,76.4,0.4,5.1,2.5,0.8,0.5,0.9,onealro01,SF,0.5294117647058825
Marco Belinelli,39.2,37.6,82.8,0.1,1.6,1.2,0.2,0.0,0.3,belinma01,SG,0.4166666666666668
Frank Jackson,40.5,32.6,74.7,0.4,1.0,1.0,0.3,0.1,0.8,jacksfr01,PG,0.4687499999999999
Abdel Nader,46.8,37.5,77.3,0.3,1.6,0.7,0.4,0.4,0.8,naderab01,SF,0.5200000000000001
